,代號,名稱,股東權益(億),每股淨值(元)
427,1325,恆大,30.5,34.57
428,4540,全球傳動,32.6,34.57
429,3622,洋華,52.8,34.56
430,6139,亞翔,114,34.56
431,1240,茂生農經,13.8,34.51
432,2104,國際中橡,352,34.5
433,8429,金麗-KY,64,34.42
434,8210,勤誠,41.8,34.41
435,8478,東哥遊艇,30.3,34.41
436,5520,力泰,21.7,34.31
437,5493,三聯,24.1,34.21
438,4737,華廣,20.8,34.16
439,2363,矽統,233,34.1
440,3272,東碩,18.5,34.09
441,6523,達爾膚,15.3,34.07
442,6581,鋼聯,37.9,34.05
443,2351,順德,65.3,33.97
444,1532,勤美,167,33.96
445,2373,震旦行,89.3,33.95
446,2031,新光鋼,116,33.91
447,4120,友華,34.5,33.91
448,6569,醫揚,10.3,33.9
449,6191,精成科,164,33.87
450,6807,峰源-KY,15.2,33.84
451,6552,易華電,28,33.78
452,6666,羅麗芬-KY,16,33.76
453,6716,應廣,8.28,33.76
454,2481,強茂,131,33.75
455,3305,昇貿,44.4,33.63
456,3004,豐達科,17.7,33.54
457,8150,南茂,244,33.53
458,1419,新紡,100,33.46
459,3306,鼎天,16.9,33.44
460,8104,錸寶,22.9,33.43
461,4987,科誠,9.68,33.42
462,6426,統新,12.9,33.41
463,1437,勤益控,67.9,33.39
464,1232,大統益,54.5,33.37
465,4175,杏一,11.8,33.33
466,6792,詠業,15.9,33.26
467,3479,安勤,26.1,33.2
468,6763,綠界科技,4.92,33.19
469,4745,合富-KY,35.3,33.16
470,3141,晶宏,24.8,33.14
471,8916,光隆,49.8,33.14
472,2546,根基,35.1,33.11
473,6224,聚鼎,33.6,33.11
474,8054,安國,35.7,33.1
475,3628,盈正,15,33.06
476,2498,宏達電,272,33.02
477,6257,矽格,173,32.98
478,3438,類比科,15.5,32.96
479,8182,加高,35.3,32.94
480,3088,艾訊,29.7,32.92
481,3484,崧騰,23.3,32.92
482,2108,南帝,168,32.91
483,2912,統一超,428,32.86
484,2062,橋椿,65.4,32.69
485,5388,中磊,82.4,32.68
486,8021,尖點,52.2,32.68
487,1340,勝悅-KY,49.9,32.63
488,3035,智原,84.9,32.62
489,8411,福貞-KY,58.7,32.59
490,2704,國賓,119,32.54
491,1903,士紙,84.6,32.52
492,5538,東明-KY,65.4,32.41
493,1101,台泥,2257.0,32.37
494,2520,冠德,200,32.37
495,3543,州巧,30.3,32.34
496,6203,海韻電,25.8,32.31
497,6531,愛普*,47.9,32.31
498,6187,萬潤,26.3,32.3
499,3615,安可,23.8,32.17
500,8367,建新國際,33.8,32.12
501,9924,福興,61.1,32.12
502,8043,蜜望實,25.4,32.06
503,3491,昇達科,23.8,32.05
504,3669,圓展,29.7,32
505,6525,捷敏-KY,41.3,32
506,1593,祺驊,11.3,31.9
507,1737,臺鹽,65.1,31.81
508,1723,中碳,76.2,31.67
509,5609,中菲行,44.3,31.66
510,1598,岱宇,43.7,31.64
511,3059,華晶科,93.9,31.62
512,6654,天正國際,11.7,31.59
513,9958,世紀鋼,101,31.59
514,4906,正文,119,31.54
515,3416,融程電,22.9,31.53
516,1530,亞崴,31.6,31.44
517,1436,華友聯,30.2,31.43
518,2301,光寶科,722,31.35
519,3323,加百裕,25.1,31.21
520,3588,通嘉,16.5,31.17
521,2430,燦坤,51.8,31.14
522,4915,致伸,164,31.14
523,3264,欣銓,147,31.11
524,4148,全宇生技-KY,23.8,31.08
525,6206,飛捷,47.4,30.98
526,4576,大銀微系統,38.5,30.92
527,4129,聯合,28.2,30.9
528,1605,華新,1079.0,30.86
529,6417,韋僑,13,30.86
530,1536,和大,87.4,30.85
531,1907,永豐餘,658,30.84
532,8069,元太,357,30.84
533,2029,盛餘,99.8,30.83
534,4420,光明,12.5,30.83
535,5392,能率,74,30.82
536,6180,橘子,58.5,30.82
537,3712,永崴投控,120,30.77
538,1527,鑽全,42.6,30.76
539,6588,東典光電,8.2,30.7
540,6712,長聖,19,30.7
541,5016,松和,15.3,30.62
542,4535,至興,25.9,30.61
543,2606,裕民,259,30.6
544,3675,德微,13.6,30.58
545,6609,瀧澤科,22.1,30.55
546,3005,神基,200,30.49
547,6754,匯僑設計,20,30.35
548,8383,千附,39.9,30.35
549,1215,卜蜂,85.9,30.33
550,2542,興富發,457,30.31
551,6188,廣明,87.5,30.31
552,2923,鼎固-KY,527,30.24
553,9944,新麗,32.8,30.24
554,3546,宇峻,14.6,30.23
555,5285,界霖,30.8,30.15
556,6245,立端,35.2,30.12
557,6527,明達醫,7.19,30.12
558,8424,惠普,10.8,30.08
559,1321,大洋,66.3,30.03
560,8482,商億-KY,33,29.99
561,5234,達興材料,30.7,29.86
562,3703,欣陸,278,29.85
563,2115,六暉-KY,29.6,29.76
564,6715,嘉基,18.3,29.71
565,6024,群益期,62.7,29.69
566,8446,華研,15.7,29.69
567,8472,夠麻吉,5.24,29.57
568,1104,環泥,194,29.43
569,6205,詮欣,23.3,29.39
570,6651,全宇昕,9.66,29.31
571,4417,金洲,28.7,29.28
572,2433,互盛電,48.8,29.25
573,6615,慧智,6.24,29.22
574,6290,良維,44.7,29.2
575,5533,皇鼎,83.3,29.19
576,5222,全訊,19.8,29.18
577,8271,宇瞻,29.7,29.17
578,8467,波力-KY,14.5,29.16
579,8050,廣積,58.2,29.15
580,8433,弘帆,15.1,29.06
581,2755,揚秦,5.79,28.94
582,2231,為升,46.6,28.92
583,6294,智基,7.14,28.92
584,6194,育富,17.3,28.88
585,2065,世豐,15.7,28.86
586,3332,幸康,13.9,28.84
587,3481,群創,3048.0,28.82
588,2642,宅配通,27.5,28.81
589,2816,旺旺保,64.4,28.81
590,3218,大學光,23.3,28.75
591,3093,港建,10.4,28.71
592,6449,鈺邦,25.5,28.69
593,5278,尚凡,4.37,28.67
594,4972,湯石照明,11.1,28.63
595,6508,惠光,24.5,28.63
596,8341,日友,32.9,28.58
597,3504,揚明光,32.7,28.56
598,3167,大量,22.8,28.54
599,2534,宏盛,135,28.46
600,6752,叡揚,8.2,28.44
601,6574,霈方,6.3,28.41
602,3531,先益,17.6,28.4
603,5903,全家,70,28.4
604,8042,金山電,37.4,28.39
605,2514,龍邦,103,28.38
606,3557,嘉威,22.8,28.35
607,8249,菱光,39.7,28.35
608,3138,耀登,13.8,28.34
609,6412,群電,111,28.34
610,1597,直得,22.9,28.31
611,4764,雙鍵,22.9,28.28
612,4747,強生,8.48,28.26
613,6804,明係,7.74,28.24
614,2945,三商家購,19.1,28.23
